,date,location,new_cases,new_deaths,total_vaccinations
0,2020-01-05,Africa,0.0,0.0,0.0
1,2020-01-06,Africa,0.0,0.0,0.0
2,2020-01-07,Africa,0.0,0.0,0.0
3,2020-01-08,Africa,0.0,0.0,0.0
4,2020-01-09,Africa,0.0,0.0,0.0
5,2020-01-10,Africa,0.0,0.0,0.0
6,2020-01-11,Africa,0.0,0.0,0.0
7,2020-01-12,Africa,0.0,0.0,0.0
8,2020-01-13,Africa,0.0,0.0,0.0
9,2020-01-14,Africa,0.0,0.0,0.0
10,2020-01-15,Africa,0.0,0.0,0.0
11,2020-01-16,Africa,0.0,0.0,0.0
12,2020-01-17,Africa,0.0,0.0,0.0
13,2020-01-18,Africa,0.0,0.0,0.0
14,2020-01-19,Africa,0.0,0.0,0.0
15,2020-01-20,Africa,0.0,0.0,0.0
16,2020-01-21,Africa,0.0,0.0,0.0
17,2020-01-22,Africa,0.0,0.0,0.0
18,2020-01-23,Africa,0.0,0.0,0.0
19,2020-01-24,Africa,0.0,0.0,0.0
20,2020-01-25,Africa,0.0,0.0,0.0
21,2020-01-26,Africa,0.0,0.0,0.0
22,2020-01-27,Africa,0.0,0.0,0.0
23,2020-01-28,Africa,0.0,0.0,0.0
24,2020-01-29,Africa,0.0,0.0,0.0
25,2020-01-30,Africa,0.0,0.0,0.0
26,2020-01-31,Africa,0.0,0.0,0.0
27,2020-02-01,Africa,0.0,0.0,0.0
28,2020-02-02,Africa,0.0,0.0,0.0
29,2020-02-03,Africa,0.0,0.0,0.0
30,2020-02-04,Africa,0.0,0.0,0.0
31,2020-02-05,Africa,0.0,0.0,0.0
32,2020-02-06,Africa,0.0,0.0,0.0
33,2020-02-07,Africa,0.0,0.0,0.0
34,2020-02-08,Africa,0.0,0.0,0.0
35,2020-02-09,Africa,0.0,0.0,0.0
36,2020-02-10,Africa,0.0,0.0,0.0
37,2020-02-11,Africa,0.0,0.0,0.0
38,2020-02-12,Africa,0.0,0.0,0.0
39,2020-02-13,Africa,0.0,0.0,0.0
40,2020-02-14,Africa,0.0,0.0,0.0
41,2020-02-15,Africa,0.0,0.0,0.0
42,2020-02-16,Africa,1.0,0.0,0.0
43,2020-02-17,Africa,0.0,0.0,0.0
44,2020-02-18,Africa,0.0,0.0,0.0
45,2020-02-19,Africa,0.0,0.0,0.0
46,2020-02-20,Africa,0.0,0.0,0.0
47,2020-02-21,Africa,0.0,0.0,0.0
48,2020-02-22,Africa,0.0,0.0,0.0
49,2020-02-23,Africa,0.0,0.0,0.0
50,2020-02-24,Africa,0.0,0.0,0.0
51,2020-02-25,Africa,0.0,0.0,0.0
52,2020-02-26,Africa,0.0,0.0,0.0
53,2020-02-27,Africa,0.0,0.0,0.0
54,2020-02-28,Africa,0.0,0.0,0.0
55,2020-02-29,Africa,0.0,0.0,0.0
56,2020-03-01,Africa,2.0,0.0,0.0
57,2020-03-02,Africa,0.0,0.0,0.0
58,2020-03-03,Africa,0.0,0.0,0.0
59,2020-03-04,Africa,0.0,0.0,0.0
60,2020-03-05,Africa,0.0,0.0,0.0
61,2020-03-06,Africa,0.0,0.0,0.0
62,2020-03-07,Africa,0.0,0.0,0.0
63,2020-03-08,Africa,77.0,5.0,0.0
64,2020-03-09,Africa,0.0,0.0,0.0
65,2020-03-10,Africa,0.0,0.0,0.0
66,2020-03-11,Africa,0.0,0.0,0.0
67,2020-03-12,Africa,0.0,0.0,0.0
68,2020-03-13,Africa,0.0,0.0,0.0
69,2020-03-14,Africa,0.0,0.0,0.0
70,2020-03-15,Africa,234.0,4.0,0.0
71,2020-03-16,Africa,0.0,0.0,0.0
72,2020-03-17,Africa,0.0,0.0,0.0
73,2020-03-18,Africa,0.0,0.0,0.0
74,2020-03-19,Africa,0.0,0.0,0.0
75,2020-03-20,Africa,0.0,0.0,0.0
76,2020-03-21,Africa,0.0,0.0,0.0
77,2020-03-22,Africa,1023.0,18.0,0.0
78,2020-03-23,Africa,0.0,0.0,0.0
79,2020-03-24,Africa,0.0,0.0,0.0
80,2020-03-25,Africa,0.0,0.0,0.0
81,2020-03-26,Africa,0.0,0.0,0.0
82,2020-03-27,Africa,0.0,0.0,0.0
83,2020-03-28,Africa,0.0,0.0,0.0
84,2020-03-29,Africa,3229.0,113.0,0.0
85,2020-03-30,Africa,0.0,0.0,0.0
86,2020-03-31,Africa,0.0,0.0,0.0
87,2020-04-01,Africa,0.0,0.0,0.0
88,2020-04-02,Africa,0.0,0.0,0.0
89,2020-04-03,Africa,0.0,0.0,0.0
90,2020-04-04,Africa,0.0,0.0,0.0
